COUNTRY_SHORT_NAME,COUNTRY_ALPHA_3_CODE,COUNTRY_ALPHA_2_CODE,PROVINCE_STATE_NAME,COUNTY_NAME,COUNTY_FIPS_NUMBER,GEO_LATITUDE,GEO_LONGITUDE,GEO_REGION_POPULATION_COUNT,DATA_SOURCE_NAME
Afghanistan,AFG,AF,,,,34.023,65.5267,38041757,United Nations - 2019 Median
Albania,ALB,AL,,,,40.654,20.076,2880913,United Nations - 2019 Median
Algeria,DZA,DZ,,,,28.6045,2.64,43053054,United Nations - 2019 Median
Andorra,AND,AD,,,,42.5425,1.5893,77146,United Nations - 2019 Median
Angola,AGO,AO,,,,-12.836,17.808,31825299,United Nations - 2019 Median
Anguilla,AIA,AI,,,,18.2177,-63.0406,14872,United Nations - 2019 Median
Antigua and Barbuda,ATG,AG,,,,17.625,-61.786,97115,United Nations - 2019 Median
Argentina,ARG,AR,,,,-33.166,-64.31,44780675,United Nations - 2019 Median
Armenia,ARM,AM,,,,40.56,44.449,2957728,United Nations - 2019 Median
Aruba,ABW,AW,,,,12.5176,-69.9818,106310,United Nations - 2019 Median
Australia,AUS,AU,Australian Capital Territory,,,-35.5,149,428100,JHU CSSE Lookup Table
Australia,AUS,AU,New South Wales,,,-33,146,8118000,JHU CSSE Lookup Table
Australia,AUS,AU,Northern Territory,,,-20,134,245600,JHU CSSE Lookup Table
Australia,AUS,AU,Queensland,,,-20,145,5115500,JHU CSSE Lookup Table
Australia,AUS,AU,South Australia,,,-30,135,1756500,JHU CSSE Lookup Table
Australia,AUS,AU,Tasmania,,,-42,147,535500,JHU CSSE Lookup Table
Australia,AUS,AU,Victoria,,,-37,145,6629900,JHU CSSE Lookup Table
Australia,AUS,AU,Western Australia,,,-25,122,2630600,JHU CSSE Lookup Table
Austria,AUT,AT,,,,47.65,14.705,8955108,United Nations - 2019 Median
Azerbaijan,AZE,AZ,,,,40.46,47.883,10047719,United Nations - 2019 Median
Bahamas,BHS,BS,,,,24.7032,-78.0455,389486,United Nations - 2019 Median
Bahrain,BHR,BH,,,,26.025,50.5534,1641164,United Nations - 2019 Median
Bangladesh,BGD,BD,,,,24.598,90.1963,163046173,United Nations - 2019 Median
Barbados,BRB,BB,,,,13.1898,-59.559,287021,United Nations - 2019 Median
Belarus,BLR,BY,,,,53.3292,27.9492,9452409,United Nations - 2019 Median
Belgium,BEL,BE,,,,50.6745,4.4588,11539326,United Nations - 2019 Median
Belize,BLZ,BZ,,,,17.108,-88.744,390351,United Nations - 2019 Median
Benin,BEN,BJ,,,,10.478,2.274,11801151,United Nations - 2019 Median
