Date,Value
2024-12-31,12.0
2023-12-31,13.001
2022-12-31,13.001
2021-12-31,12.0
2020-12-31,12.0
2019-12-31,11.836
2018-12-31,20.302
2017-12-31,11.92
2016-12-31,8.533
2015-12-31,8.808
2014-12-31,8.17
2013-12-31,7.4
2012-12-31,6.164
2011-12-31,10.448
2010-12-31,6.401
2009-12-31,6.526
2008-12-31,10.064
2007-12-31,8.387
2006-12-31,9.653
2005-12-31,7.717
2004-12-31,9.353
2003-12-31,18.403
2002-12-31,29.705
2001-12-31,68.489
2000-12-31,38.998
1999-12-31,68.805
1998-12-31,69.634
1997-12-31,99.016
1996-12-31,80.142
1995-12-31,76.25
1994-12-31,115.7
1993-12-31,71.076
1992-12-31,65.967
1991-12-31,71.132
1990-12-31,60.425
1989-12-31,64.267
1988-12-31,66.227
1987-12-31,55.027
1986-12-31,30.698
