iter	Passed	Remaining
0	5	1140
1	9	963
2	13	895
3	19	959
4	23	912
5	27	896
6	32	883
7	36	869
8	39	844
9	43	821
10	46	796
11	49	778
12	52	759
13	56	751
14	59	739
15	63	725
16	67	723
17	70	713
18	73	703
19	78	704
20	82	707
21	87	706
22	91	703
23	95	700
24	99	697
25	102	687
26	106	680
27	109	671
28	112	663
29	115	656
30	118	648
31	122	640
32	125	634
33	130	635
34	133	629
35	136	622
36	139	615
37	143	613
38	147	608
39	150	602
40	154	597
41	157	591
42	161	590
43	165	585
44	168	580
45	172	576
46	175	572
47	179	568
48	182	562
49	186	560
50	190	556
51	194	552
52	197	548
53	200	543
54	213	562
55	227	583
56	235	590
57	240	587
58	243	581
59	247	576
60	250	571
61	251	560
62	256	558
63	262	558
64	263	547
65	267	543
66	273	543
67	277	539
68	281	535
69	286	532
70	290	527
71	293	522
72	297	517
73	301	512
74	305	508
75	310	507
76	319	510
77	324	508
78	335	513
79	341	511
80	345	507
81	351	505
82	354	500
83	358	494
84	362	490
85	366	485
86	369	480
87	373	474
88	376	469
89	380	465
90	384	460
91	388	455
92	391	450
93	397	448
94	402	445
95	415	450
96	419	445
97	424	442
98	429	437
99	432	432
100	437	428
101	441	424
102	448	421
103	452	417
104	459	416
105	463	411
106	468	406
107	475	405
108	480	401
109	485	397
110	490	393
111	496	389
112	499	384
113	505	381
114	508	375
115	511	370
116	515	365
117	519	361
118	523	356
119	527	351
120	530	346
121	534	341
122	539	337
123	543	333
124	548	329
125	553	324
126	557	320
127	561	316
128	567	312
129	571	307
130	575	302
131	579	298
132	584	294
133	588	289
134	593	285
135	597	281
136	601	276
137	606	272
138	610	267
139	614	263
140	622	260
141	626	255
142	632	252
143	635	247
144	638	242
145	642	237
146	646	233
147	650	228
148	653	223
149	657	219
150	661	214
151	665	210
152	669	205
153	673	201
154	677	196
155	681	192
156	684	187
157	687	182
158	691	178
159	694	173
160	698	169
161	701	164
162	705	160
163	709	155
164	718	152
165	723	148
166	728	143
167	733	139
168	738	135
169	742	131
170	747	126
171	752	122
172	758	118
173	762	114
174	767	109
175	773	105
176	777	101
177	782	96
178	787	92
179	791	87
180	796	83
181	803	79
182	807	75
183	811	70
184	817	66
185	821	61
186	824	57
187	827	52
188	831	48
189	835	43
190	839	39
191	843	35
192	849	30
193	852	26
194	857	21
195	861	17
196	863	13
197	867	8
198	870	4
199	874	0
