iter	Passed	Remaining
0	3	726
1	7	725
2	10	714
3	14	703
4	17	691
5	20	677
6	24	667
7	27	668
8	31	663
9	34	655
10	37	644
11	40	631
12	43	628
13	46	621
14	50	617
15	53	611
16	56	610
17	60	607
18	63	600
19	66	596
20	69	593
21	72	590
22	76	587
23	81	596
24	84	593
25	87	588
26	91	585
27	94	582
28	98	579
29	101	574
30	104	570
31	107	565
32	110	560
33	114	556
34	117	552
35	120	547
36	124	547
37	127	544
38	131	540
39	134	537
40	140	545
41	147	553
42	155	566
43	162	574
44	165	569
45	169	568
46	175	571
47	180	570
48	184	567
49	189	569
50	194	567
51	197	562
52	200	557
53	204	551
54	207	547
55	210	542
56	214	538
57	219	537
58	224	537
59	230	537
60	235	536
61	236	526
62	240	522
63	244	518
64	245	509
65	250	508
66	255	507
67	259	504
68	264	501
69	267	496
70	270	491
71	273	486
72	277	482
73	280	477
74	283	472
75	287	468
76	290	464
77	293	459
78	297	455
79	300	451
80	304	448
81	311	447
82	318	449
83	321	443
84	323	438
85	327	434
86	330	429
87	334	426
88	338	422
89	341	417
90	344	412
91	347	407
92	349	402
93	353	398
94	356	393
95	359	389
96	362	385
97	366	381
98	369	377
99	373	373
100	376	369
101	387	372
102	390	368
103	395	365
104	399	361
105	402	356
106	406	353
107	409	349
108	413	344
109	417	341
110	421	337
111	426	335
112	429	330
113	432	326
114	435	321
115	439	317
116	441	313
117	444	308
118	447	304
119	449	299
120	452	295
121	455	291
122	457	286
123	460	282
124	463	277
125	465	273
126	468	269
127	471	264
128	473	260
129	476	256
130	478	252
131	481	247
132	483	243
133	486	239
134	488	235
135	491	231
136	494	227
137	496	223
138	499	219
139	501	215
140	504	210
141	506	206
142	509	202
143	512	199
144	514	195
145	517	191
146	520	187
147	522	183
148	525	179
149	528	176
150	530	172
151	533	168
152	537	165
153	540	161
154	543	157
155	547	154
156	551	150
157	555	147
158	558	143
159	562	140
160	565	137
161	569	133
162	572	129
163	576	126
164	579	122
165	583	119
166	586	115
167	590	112
168	593	108
169	597	105
170	601	101
171	606	98
172	610	95
173	616	92
174	620	88
175	622	84
176	625	81
177	629	77
178	633	74
179	635	70
180	638	67
181	641	63
182	644	59
183	647	56
184	650	52
185	653	49
186	656	45
187	660	42
188	663	38
189	666	35
190	669	31
191	671	27
192	675	24
193	678	20
194	681	17
195	684	13
196	686	10
197	688	6
198	692	3
199	695	0
