id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984,29.04545,Entire home/apt,1149,365,41,2017-08-04,0.54,2,363,0,
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,389,30,2,2018-05-04,0.02,1,332,0,
27831,"Large, clean, spacious apartment",120067,Defne,,Besiktas,41.0659,29.00502,Entire home/apt,846,1,0,,,1,364,0,
28277,Duplex Apartment 11 with Terrace,121607,Alen,,Sisli,41.04471,28.98567,Entire home/apt,657,14,1,2021-05-15,0.18,17,328,1,
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09104,29.0558,Entire home/apt,1198,3,0,,,1,88,0,
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04803,28.95227,Private room,479,3,0,,,1,365,0,
30697,nice home in popular area,132137,Nan,,Beyoglu,41.0335,28.97626,Private room,1114,1,1,2010-06-14,0.01,1,365,0,
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05382,28.99739,Private room,589,2,1,2014-10-21,0.01,2,364,0,
34177,PETIT HOUSE,147330,Ercan,,Besiktas,41.06681,29.04035,Entire home/apt,383,10,8,2016-07-14,0.12,2,241,0,
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02704,28.97588,Private room,659,1,0,,,1,365,0,
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.03658,28.97213,Entire home/apt,278,4,39,2020-02-03,0.45,2,180,1,
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04913,28.99666,Private room,719,1,0,,,1,365,0,
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02725,28.97718,Entire home/apt,544,5,46,2017-01-02,0.38,6,181,0,
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.03089,28.98054,Private room,1034,180,86,2015-07-27,0.78,2,268,0,
44429,"Cozy, central, lovely&check out the bathroom!*",194194,Zeyno,,Beyoglu,41.03082,28.97958,Entire home/apt,389,5,24,2019-03-29,0.79,2,29,2,
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.03467,28.98902,Private room,479,3,0,,,1,365,0,
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03258,29.03239,Entire home/apt,835,3,19,2021-10-23,1.93,3,350,6,
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.02752,28.97858,Entire home/apt,655,5,27,2014-04-14,0.25,6,181,0,
77292,3 Bedroom Apartment with Terrace Bosphorus View,414003,Fasedis,,Beyoglu,41.03583,28.98989,Entire home/apt,1137,3,5,2021-10-26,2.54,10,298,3,
88949,Wonderful House with Historical View,485384,Alev,,Beyoglu,41.03326,28.97876,Entire home/apt,780,3,90,2019-07-20,0.82,2,356,4,
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.03082,28.98053,Private room,145,2,68,2019-05-28,0.93,1,310,0,
108537,Cihangir Connection,561692,Hasan,,Beyoglu,41.03103,28.984,Entire home/apt,518,2,3,2018-04-02,0.06,1,365,0,
124137,Beautiful Artist's home staycation,594053,Dev,,Beyoglu,41.03451,28.98654,Entire home/apt,583,2,65,2021-10-11,0.74,3,1,39,
124147,"Beautiful room in an Artist's home, staycation",594053,Dev,,Beyoglu,41.03311,28.991,Private room,278,3,146,2019-11-20,1.26,3,16,0,
130231,Flat with super Golden Horn view,641504,Chris,,Beyoglu,41.03398,28.97297,Entire home/apt,395,3,30,2020-03-19,0.87,1,76,3,
133148,Eveything you need - as you wish,654031,Nurhan,,Kagithane,41.06496,28.95651,Entire home/apt,1438,2,0,,,1,365,0,
135956,Private room in shared flat-for ONLY female guests,666066,Ali,,Beyoglu,41.0286,28.9775,Private room,145,60,29,2019-08-30,0.51,11,302,1,
139804,Entire house in central Kadikoy,681763,Deniz,,Kadikoy,40.98574,29.02851,Entire home/apt,479,4,8,2019-01-03,0.06,1,333,0,
140269,Penthouse in Taxim -with 2 bedrooms,683356,Damir,,Beyoglu,41.03577,28.9773,Entire home/apt,500,3,129,2015-06-17,1.12,3,272,0,
146854,Beautiful & Super Deluxe Flat,709964,Lily,,Sisli,41.04753,28.9803,Private room,575,1,0,,,1,365,0,
152549,Room in Greenness inc Breakfast,734040,Can,,Sariyer,41.08582,29.05477,Private room,249,2,36,2016-06-13,0.29,2,130,2,
158618,King Suite Studio  Near Taksim Square,730566,Murat,,Beyoglu,41.03767,28.98219,Private room,611,1,0,,,3,364,0,
